Call,TotalHours,OnePointEightMHz,ThreePointFiveMHz,SevenMHz,FourteenMHz,TwentyOneMHz,TwentyEightMHz,None
AB1BX,19,0,0,11,10,4,0,0
AB1J,33,0,9,15,18,11,5,0
AB1XB,12,0,0,7,4,2,1,0
AB1XX,11,0,2,5,10,8,0,0
AB1YD,27,1,4,11,18,3,0,0
AB2ZY,22,0,2,5,15,9,0,0
AB3CV,28,0,7,13,15,11,3,0
AB3CX,41,7,15,21,20,12,3,0
AB3YH,2,0,0,0,2,2,0,0
AB4B,29,0,0,29,0,0,0,0
AB4SF,13,0,3,6,6,5,0,0
AB7RW,17,0,0,4,13,6,1,0
AB8FJ,4,0,0,0,0,4,0,0
AB8OU,3,0,0,3,1,0,0,0
AB9CD,9,0,0,0,9,1,0,0
AB9PN,9,0,0,0,9,1,0,0
AB9YC,35,2,9,18,22,15,4,0
AC0E,7,0,0,0,6,2,0,0
AC0W,25,11,11,19,8,9,3,0
AC2QH,11,0,1,0,5,6,2,0
AC2RJ,8,0,0,6,2,0,0,0
AC4CA,28,5,2,12,11,9,0,0
AC4G,20,6,7,7,5,9,2,0
AC6SL,11,0,11,0,0,0,0,0
AC6WI,14,0,0,2,11,6,0,0
AC6YY,16,0,3,4,7,6,0,0
AC6ZM,11,0,0,5,3,5,0,0
AC7JM,14,0,0,6,9,3,1,0
AC7N,11,0,0,0,9,4,1,0
AC8AP,16,3,5,9,8,1,0,0
AC9PG,11,0,0,0,11,0,0,0
AC9S,7,7,0,0,0,0,0,0
AD0AB,11,3,4,3,9,5,0,0
AD0BI,9,0,1,4,4,2,0,0
AD0H,12,0,0,4,5,6,1,0
AD0HJ,9,0,0,5,5,0,0,0
AD0LI,23,3,4,10,11,6,1,0
AD0RW,19,0,8,0,0,11,0,0
AD0TR,10,0,0,2,6,3,0,0
AD1C,30,0,2,15,22,17,4,0
AD4EB,17,3,5,8,14,6,1,0
AD4TJ,17,0,2,5,11,5,1,0
AD4YQ,7,0,2,2,4,3,0,0
AD5A,31,4,7,15,17,11,4,0
AD5VC,13,5,5,7,4,4,2,0
AD7BI,10,0,10,0,0,0,0,0
AD7XG,30,2,5,6,20,4,0,0
AD8P,7,0,7,0,0,0,0,0
AD8Y,9,0,1,3,5,5,0,0
AD9I,20,0,20,0,0,0,0,0
AE1T,19,0,4,8,10,5,0,0
AE3D,20,0,2,10,13,6,0,0
AE3J,18,3,4,12,3,6,1,0
AE5E,19,2,2,5,10,11,4,0
AE5P,2,0,0,2,0,0,0,0
AE5S,16,0,0,10,4,4,0,0
AE6JV,20,2,3,6,10,10,1,0
AE8TF,18,2,3,5,11,5,0,0
AE9LL,3,0,0,1,1,3,0,0
AF0E,18,0,5,13,6,0,0,0
AF0S,9,0,0,3,8,6,3,0
AF3Z,12,1,2,3,7,2,2,0
AF4RK,30,0,0,16,14,3,0,0
AF5CC,21,1,3,12,10,10,1,0
AF6SA,24,11,8,11,11,10,4,0
AF7NX,5,0,0,0,5,2,0,0
AF8C,20,0,0,7,10,6,0,0
AG2T,21,0,1,8,8,8,2,0
AG3R,20,0,3,4,11,6,0,0
AG4W,20,20,0,0,0,0,0,0
AG6JA,3,0,0,0,1,2,0,0
AG6VH,5,0,0,0,4,3,0,0
AH0K,48,16,26,34,32,25,14,0
AH2R,48,9,22,30,31,27,11,0
AH6FC,9,0,0,1,8,3,0,0
AH6KO,23,0,3,14,6,5,0,0
AH7C,12,2,5,2,1,3,2,0
AH7U,15,1,2,3,12,10,6,0
AI2N,18,2,3,6,8,6,1,0
AI3Q,15,0,0,0,15,0,0,0
AI4GR,11,0,1,3,6,5,0,0
AI4QQ,13,0,0,4,4,5,1,0
AI4UN,9,0,0,4,6,2,0,0
AI4VE,3,0,0,1,3,0,0,0
AI4WW,13,0,7,6,0,0,0,0
AI6V,15,0,5,5,9,4,0,0
AI9I,12,0,0,0,3,9,2,0
AI9K,20,0,0,9,5,6,0,0
AI9T,12,0,0,4,6,6,0,0
AJ4F,24,5,6,9,7,11,1,0
AJ6V,7,0,0,0,5,5,0,0
AK0BC,15,0,2,9,8,4,0,0
AK2U,17,0,0,10,9,0,0,0
AK4IC,7,0,0,5,3,0,0,0
AK5X,6,0,0,0,1,4,4,0
AK7AT,21,0,0,10,12,4,0,0
AK7O,16,0,0,2,13,6,0,0
AL1G,9,0,0,0,9,0,0,0
AL7LO,20,0,2,10,15,9,0,0
AT5M,12,0,0,3,5,9,0,0
B1Z,47,4,13,32,24,11,1,0
B7Q,47,0,19,30,23,18,4,0
BA2BA,15,0,0,7,8,4,0,0
BA2BI,8,0,8,0,0,0,0,0
BA4DL,31,0,0,0,31,0,0,0
BA4KW,2,0,0,2,0,0,0,0
BA4SD,7,0,0,0,3,6,2,0
BA5DX,8,0,0,8,0,0,0,0
BA6QH,3,0,0,2,0,1,0,0
BA7NQ,19,0,0,19,0,0,0,0
BD1KV,24,0,0,7,14,13,0,0
BD2BT,28,0,0,18,10,2,0,0
BD3CB,3,0,0,3,0,0,0,0
BD3MV,27,0,3,10,11,13,2,0
BD3QA,44,1,7,27,24,13,2,0
BD4LB,4,0,0,0,2,2,0,0
BD4QA,10,0,0,0,10,0,0,0
BD4WN,27,6,8,10,14,11,6,0
BD5FFK,15,0,15,0,0,0,0,0
BD5HST,5,0,0,5,0,0,0,0
BD5XX,16,16,0,0,0,0,0,0
BD6OT,14,0,0,6,9,1,1,0
BD7BW,25,0,0,8,10,17,3,0
BD7IAL/QRP,11,0,0,0,11,0,0,0
BD7JNA,27,1,1,14,13,7,0,0
BD7KBB,16,0,0,0,11,9,2,0
BD7KGQ,3,0,0,0,3,0,0,0
BD7LNI,17,0,0,0,17,0,0,0
BD7OB,15,1,1,8,5,4,1,0
BD7YK,16,0,1,4,10,9,3,0
BD9XE,11,0,0,11,0,0,0,0
BG0ARE,14,0,0,6,7,8,1,0
BG0ATE,22,0,0,0,22,0,0,0
BG1DX,7,0,1,0,6,2,0,0
BG1REN,17,0,0,0,0,17,0,0
BG1VFD,19,0,0,9,13,2,0,0
BG2AUE,19,1,10,4,10,2,0,0
BG2QMO,41,0,0,25,19,9,2,0
BG3ATI,9,0,0,5,4,2,1,0
BG3GEF,13,0,3,8,5,4,1,0
BG3ICC,23,0,1,6,17,6,1,0
BG3IYX,24,0,0,11,17,14,0,0
BG3UPA,46,6,14,25,22,11,6,0
BG3UTD,22,0,0,11,11,8,1,0
BG4AHK,24,0,0,0,24,0,0,0
BG4CMI,8,0,0,0,0,8,0,0
BG4TMC,20,0,0,20,0,0,0,0
BG4WOM,3,0,0,3,0,0,0,0
BG5BDY,22,0,0,13,9,5,1,0
BG5BRT,11,0,0,2,10,10,0,0
BG5EFD,13,0,0,5,2,7,0,0
BG5HEK,20,0,0,13,6,7,0,0
BG5HEW/QRP,1,0,0,1,0,0,0,0
BG5HVP,11,0,0,0,11,0,0,0
BG5HWL,3,0,0,0,3,0,0,0
BG5JND,26,0,0,7,14,15,0,0
BG5JNT,23,0,0,10,13,11,1,0
BG5OA,9,0,0,6,4,1,0,0
BG6AHD,2,0,0,0,0,2,0,0
BG6JJI,10,0,0,0,6,4,1,0
BG6SNJ,1,0,0,0,1,0,0,0
BG6SZD,7,0,0,4,3,0,0,0
BG7BDB/QRP,15,0,0,0,4,6,11,0
BG7DOD,30,0,0,11,21,0,0,0
BG7IWZ,33,0,3,9,15,17,5,0
BG7OAJ,33,1,11,14,20,16,7,0
BG7SFE,14,0,0,0,14,0,0,0
BG7TJA,14,0,1,5,4,7,2,0
BG8DIV,21,0,0,0,21,0,0,0
BG8NKX,33,1,7,13,15,17,7,0
BG8NNG,15,0,0,3,13,0,0,0
BG8NUD,12,0,0,0,12,4,2,0
BG8SRK,40,0,1,22,20,17,2,0
BG8SRQ,21,0,0,0,1,21,0,0
BG8TFN,2,0,0,0,2,0,0,0
BG9CMG,19,0,0,19,0,0,0,0
BG9HKP,10,0,0,0,10,0,0,0
BG9OF,12,0,0,7,2,5,1,0
BH1AQA,4,4,0,0,0,0,0,0
BH1BOQ,1,0,0,1,0,0,0,0
BH1EBF,21,0,0,0,21,0,0,0
BH1FCC,8,0,0,3,0,5,0,0
BH1FXN,8,0,0,0,0,8,0,0
BH1KTL,3,0,0,3,1,0,0,0
BH1RGL,31,0,0,15,14,7,0,0
BH1RWJ,15,0,0,10,6,7,3,0
BH1SCW,26,0,0,0,26,0,0,0
BH4AYG,27,1,8,13,11,6,4,0
BH4BFS,6,6,0,0,0,0,0,0
BH4BNQ,32,1,7,14,18,8,2,0
BH4BQI,16,0,0,4,12,5,0,0
BH4DCL,2,0,0,0,2,0,1,0
BH4DQS,32,0,2,16,18,12,5,0
BH4IGO,29,0,29,0,0,0,0,0
BH4LOS,17,0,0,1,14,10,0,0
BH4RRG/QRP,13,0,3,6,4,1,0,0
BH4TQX,37,7,14,23,15,13,6,0
BH4TYL,31,0,0,19,17,3,0,0
BH5HLZ,24,0,4,8,10,13,3,0
BH6IC,26,0,0,4,21,9,5,0
BH6JFR,2,0,0,2,0,0,0,0
BH6KOK,31,0,0,11,18,13,3,0
BH7LSW,13,0,0,0,0,13,0,0
BH7PFH,41,0,6,18,17,7,1,0
BH8ASZ,25,0,11,15,18,10,3,0
BH9BCK,19,1,0,14,7,4,1,0
BI3NTC,20,0,5,11,6,5,2,0
BI4IIZ,48,7,13,23,20,12,3,0
BI4JCM/QRP,10,0,0,3,7,1,0,0
BI4QGZ,12,0,0,5,6,4,0,0
BI4SSB,48,5,21,30,24,23,5,0
BI4VIB,10,0,0,2,9,3,1,0
BI4WXD,48,10,19,28,22,19,7,0
BI7OEZ,20,0,0,8,10,7,3,0
BV1EK,23,6,8,12,4,7,3,0
BV1EL,46,2,17,21,15,13,12,0
BV4WP,8,0,0,0,0,8,0,0
BV5OQ,3,0,3,0,0,0,0,0
BX3AA,13,0,0,0,8,6,0,0
BY1CQ,4,0,0,0,2,3,0,0
BY1CY,26,0,0,10,19,6,0,0
BY1HAM,38,0,4,20,18,10,2,0
BY1OK,40,0,0,21,19,6,0,0
BY3GA,41,4,17,32,27,17,6,0
BY8AC,48,0,14,26,21,14,3,0
BY8DX,48,0,8,23,19,15,6,0
C37AC,10,0,0,10,0,0,0,0
C44C,13,0,0,0,0,13,0,0
C4W,45,10,13,22,21,19,6,0
C6AGU,39,2,12,8,17,8,1,0
CB1H,48,2,9,22,21,18,8,0
CE1CA,8,0,0,5,5,2,1,0
CE3CT,48,4,11,23,31,29,13,0
CE3DNP,36,0,0,0,36,0,0,0
CE3OP,11,0,0,0,0,0,11,0
CE4KCA,11,0,0,11,1,0,0,0
CE6VMO,25,0,0,0,25,0,0,0
CF2CZ,2,0,0,0,2,0,0,0
CF3FF,23,6,9,10,10,6,1,0
CF3IK,12,0,2,6,8,9,2,0
CF7JC,19,0,0,10,9,4,0,0
CF7MM,7,2,1,3,3,2,1,0
CM2XN,17,5,4,5,8,1,0,0
CM8NMN,30,0,0,30,0,0,0,0
CN2AA,48,23,22,27,31,20,15,0
CN2R,48,15,25,28,28,21,8,0
CN8KD,28,0,0,0,28,0,0,0
